id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,frequence_deplacement_encoded
1,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,2,3,2,4,1,1,3,Oui,11,Oui,0,0,1,2,Infra & Cloud,Occasionnel,0,5,1.0
2,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,3,2,2,2,4,3,4,Non,23,Non,1,3,8,1,Infra & Cloud,Frequent,1,7,2.0
4,37,M,2090,Célibataire,Consulting,Consultant,6,7,0,0,4,2,1,3,2,3,3,Oui,15,Oui,0,3,2,2,Autre,Occasionnel,0,0,1.0
5,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,4,3,1,3,3,3,3,Oui,11,Non,0,3,3,4,Infra & Cloud,Frequent,3,0,2.0
7,27,M,3468,Marié(e),Consulting,Consultant,9,6,2,2,1,3,1,2,4,3,3,Non,12,Non,1,3,2,1,Transformation Digitale,Occasionnel,2,2,1.0
8,32,M,3068,Célibataire,Consulting,Consultant,0,8,7,7,4,3,1,4,3,2,3,Non,13,Non,0,2,2,2,Infra & Cloud,Frequent,3,6,2.0
10,59,F,2670,Marié(e),Consulting,Consultant,4,12,1,0,3,4,1,1,1,2,4,Oui,20,Non,3,3,3,3,Transformation Digitale,Occasionnel,0,0,1.0
11,30,M,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,1,3,2,3,4,Non,22,Non,1,2,24,1,Infra & Cloud,Occasionnel,0,0,1.0
12,38,M,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,4,2,3,3,2,3,4,Non,21,Non,0,2,23,3,Infra & Cloud,Frequent,1,8,2.0
13,36,M,5237,Marié(e),Consulting,Manager,6,17,7,7,3,3,2,3,2,2,3,Non,13,Non,2,3,27,3,Transformation Digitale,Occasionnel,7,7,1.0
14,35,M,2426,Marié(e),Consulting,Consultant,0,6,5,4,1,4,1,2,3,3,3,Non,13,Non,1,5,16,3,Transformation Digitale,Occasionnel,0,3,1.0
15,29,F,4193,Célibataire,Consulting,Consultant,0,10,9,5,4,2,2,3,4,3,3,Oui,12,Non,0,3,15,2,Infra & Cloud,Occasionnel,0,8,1.0
16,31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,1,3,1,3,4,2,3,Non,17,Non,1,1,26,1,Infra & Cloud,Occasionnel,4,3,1.0
18,34,M,2661,Divorcé(e),Consulting,Consultant,0,3,2,2,2,3,1,4,3,3,3,Non,11,Non,1,2,19,2,Transformation Digitale,Occasionnel,1,2,1.0
19,28,M,2028,Célibataire,Consulting,Consultant,5,6,4,2,3,2,1,3,2,3,3,Oui,14,Oui,0,4,24,3,Infra & Cloud,Occasionnel,0,3,1.0
20,29,F,9980,Divorcé(e),Consulting,Tech Lead,1,10,10,9,2,4,3,1,3,3,3,Non,11,Non,1,1,21,4,Infra & Cloud,Occasionnel,8,8,1.0
21,32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,1,4,1,2,4,2,3,Oui,12,Non,2,5,5,2,Infra & Cloud,Occasionnel,0,5,1.0
22,22,M,2935,Divorcé(e),Consulting,Consultant,1,1,1,0,4,4,1,4,2,2,3,Oui,13,Non,2,2,16,2,Transformation Digitale,Aucun,0,0,0.0
23,53,F,15427,Marié(e),Commercial,Senior Manager,2,31,25,8,1,2,4,4,3,3,3,Non,16,Non,0,3,2,4,Infra & Cloud,Occasionnel,3,7,1.0
24,38,M,3944,Célibataire,Consulting,Assistant de Direction,5,6,3,2,4,3,1,4,3,3,3,Oui,11,Non,0,3,2,3,Infra & Cloud,Occasionnel,1,2,1.0
26,24,F,4011,Divorcé(e),Consulting,Tech Lead,0,5,4,2,1,4,2,3,4,2,3,Non,18,Non,1,5,11,2,Autre,Aucun,1,3,0.0
27,36,M,3407,Célibataire,Commercial,Représentant Commercial,7,10,5,3,3,2,1,1,2,3,4,Non,23,Oui,0,4,9,4,Infra & Cloud,Occasionnel,0,3,1.0
28,34,F,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,1,3,3,2,3,3,3,Non,11,Non,0,4,7,4,Infra & Cloud,Occasionnel,2,11,1.0
30,21,M,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,3,3,1,4,4,3,3,Non,14,Non,0,6,15,2,Infra & Cloud,Occasionnel,0,0,1.0
31,34,M,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,2,3,1,1,3,3,3,Non,11,Oui,0,2,6,1,Transformation Digitale,Occasionnel,1,3,1.0
32,53,F,19094,Divorcé(e),Consulting,Senior Manager,4,26,14,13,3,3,5,3,4,2,3,Non,11,Non,1,3,5,3,Autre,Occasionnel,4,8,1.0
33,32,F,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,2,1,1,1,2,3,4,Oui,22,Oui,0,5,16,1,Infra & Cloud,Frequent,6,7,2.0
35,42,M,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,3,3,2,2,4,3,3,Non,11,Non,1,2,8,4,Marketing,Occasionnel,4,2,1.0
36,44,F,10248,Marié(e),Consulting,Manager,3,24,22,6,1,2,3,4,4,3,3,Non,14,Non,1,4,7,4,Transformation Digitale,Occasionnel,5,17,1.0
38,46,F,18947,Célibataire,Commercial,Senior Manager,3,22,2,2,2,3,5,1,4,2,3,Non,12,Non,0,2,2,4,Marketing,Occasionnel,2,1,1.0
39,33,M,2496,Célibataire,Consulting,Consultant,4,7,1,1,3,3,1,4,4,3,3,Non,11,Non,0,3,2,3,Transformation Digitale,Occasionnel,0,0,1.0
40,44,M,6465,Marié(e),Consulting,Manager,2,9,4,2,4,3,2,4,4,4,3,Oui,13,Non,0,5,10,4,Autre,Occasionnel,1,3,1.0
41,30,M,2206,Célibataire,Consulting,Consultant,1,10,10,0,4,2,1,3,1,3,3,Non,13,Non,0,5,9,2,Transformation Digitale,Occasionnel,1,8,1.0
42,39,M,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,4,3,2,4,3,4,3,Non,14,Oui,1,6,5,3,Entrepreunariat,Occasionnel,0,0,1.0
45,24,M,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,2,3,1,4,1,2,3,Oui,16,Oui,1,2,1,3,Transformation Digitale,Occasionnel,2,0,1.0
46,43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,4,4,1,3,4,2,3,Non,12,Non,2,3,2,2,Transformation Digitale,Occasionnel,1,4,1.0
47,50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,1,2,1,3,3,3,3,Oui,14,Oui,0,2,3,2,Marketing,Occasionnel,0,2,1.0
49,35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,4,3,1,4,1,3,3,Non,13,Non,0,3,2,3,Marketing,Occasionnel,2,2,1.0
